Week,Author,Title,Price,ISBN,Rank,Category
3,Markus Zusak,The Book Thief,12.99,9780385754729.0,8,Young Adult
3,Sherman Alexie,The Absolutely True Diary of a Part-Time Indian,15.99,9780316013697.0,9,Young Adult
3,Karen M. McManus,One of Us Is Lying,17.99,9781524714680.0,10,Young Adult
3,Marie Lu,Warcross,18.99,9780399547966.0,11,Young Adult
3,Ruta Sepetys,Salt to the Sea,10.99,9780142423622.0,12,Young Adult
3,John Green,The Fault in Our Stars,12.99,9780142424179.0,13,Young Adult
3,Lois Lowry,The Giver,9.99,9780544340688.0,14,Young Adult
3,Robin Benway,Far From the Tree,17.99,9780062330628.0,15,Young Adult
4,Madeleine L'Engle,A Wrinkle in Time,8.99,9781250153272.0,1,Early & Middle
4,R.J. Palacio,Wonder,16.99,9781524720193.0,2,Early & Middle
4,Raina Telgemeier,Drama,10.99,9780545326995.0,3,Early & Middle
4,R.J. Palacio,Auggie & Me,16.99,9781101934852.0,4,Early & Middle
4,Kimberly Brubaker Bradley,The War That Saved My Life,8.99,9780147510488.0,5,Early & Middle
4,Vashti Harrison,Little Leaders: Bold Women in Black History,16.99,9780316475112.0,6,Early & Middle
4,Kelly Barnhill,The Girl Who Drank the Moon,16.95,9781616205676.0,7,Early & Middle
4,Victoria Jamieson,All's Faire in Middle School,12.99,9780525429999.0,8,Early & Middle
4,Raina Telgemeier,Smile,10.99,9780545132060.0,9,Early & Middle
4,Raina Telgemeier,Sisters,10.99,9780545540605.0,10,Early & Middle
